0	6265
0,2	2665
0,2,46	2504
0,46	3303
1	6271
1,19	2764
10	3153
11	5784
11,37	2751
11,37,45	2104
11,45	2327
12	5117
12,31	2088
12,31,36	1913
12,31,36,48	1544
12,31,48	1558
12,36	2089
12,36,48	1555
12,48	1709
13	3177
14	6362
14,44	2835
15	5690
15,49	2210
16	6221
16,32	3263
16,32,45	2462
16,45	2628
17	5529
17,29	2142
17,29,47	2007
17,47	2697
18	6987
18,35	3982
19	5685
2	5626
2,46	2643
20	3253
21	3243
22	6783
23	5073
23,24	2087
23,24,40	1932
23,24,40,41	1917
23,24,40,41,43	1555
23,24,40,43	1555
23,24,41	1926
23,24,41,43	1555
23,24,43	1558
23,40	2101
23,40,41	1931
23,40,41,43	1556
23,40,43	1565
23,41	2079
23,41,43	1564
23,43	1736
24	5101
24,40	2086
24,40,41	1922
24,40,41,43	1555
24,40,43	1564
24,41	2087
24,41,43	1570
24,43	1731
25	3145
26	3179
27	6733
27,28	3819
28	7556
29	5089
29,47	2136
3	6157
3,18	3253
3,18,35	3083
3,35	3227
30	3205
31	5047
31,36	2092
31,36,48	1560
31,48	1717
32	6299
32,45	2653
33	6166
33,42	3230
34	3243
35	6943
36	5077
36,48	1735
37	5790
37,45	2319
38	3183
39	3307
4	6948
4,9	3236
40	5118
40,41	2088
40,41,43	1560
40,43	1727
41	5081
41,43	1719
42	6871
43	4685
44	5640
45	7700
46	6236
47	5810
48	4649
49	5098
5	6168
5,22	3294
6	3178
7	8193
7,11	2795
7,11,37	2574
7,11,37,45	2094
7,11,45	2107
7,15	2731
7,15,49	2040
7,37	2784
7,37,45	2109
7,45	2367
7,49	2212
8	3189
9	6206
